STNAME,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER
ANDAMAN & NICOBAR ISLANDS,380581,202871,177710,20770,20108,164377,129904,120889,31646
ANDHRA PRADESH,84580777,42442146,42138631,4714950,4427852,28251243,22305517,24185595,15237311
ARUNACHAL PRADESH,1383727,713912,669815,107624,104564,439868,326137,350273,237384
ASSAM,31205576,15939443,15266133,2363485,2274645,10568639,8609338,8541560,3428130
BIHAR,104099452,54278157,49821295,9887239,9246725,31608023,20896530,25222189,9502798
CHANDIGARH,1055450,580663,474787,63536,55898,465346,340092,328159,75977
CHHATTISGARH,25545198,12832895,12712303,1859935,1801754,8807893,6572029,7133866,5046359
DADRA & NAGAR HAVELI,343709,193760,149949,26431,24464,142521,80709,119293,37868
DAMAN & DIU,243247,150301,92946,14144,12790,124643,63763,107434,13837
GOA,1458545,739140,719405,74460,70151,615823,549664,419536,157712
GUJARAT,60439692,31491260,28948432,4115384,3661878,23474873,17618485,18000914,6766833
HARYANA,25351462,13494734,11856728,1843109,1537612,9794067,6804921,6806636,2109872
HIMACHAL PRADESH,6864602,3481873,3382729,407459,370439,2752590,2287146,2043373,1516049
JAMMU & KASHMIR,12541302,6640662,5900640,1084355,934550,4264671,2802562,3195090,1127623
JHARKHAND,32988134,16930315,16057819,2767147,2622348,10882519,7445550,8424769,4673505
KARNATAKA,61095297,30966657,30128640,3675291,3485742,22508471,18138851,18270116,9602481
KERALA,33406061,16027412,17378649,1768244,1704711,13704903,14430921,8451569,3167494
LAKSHADWEEP,64473,33123,31350,3797,3458,28023,24530,15318,3435
MADHYA PRADESH,72626809,37612306,35014503,5636172,5173223,25174328,17676841,20146970,11427163
MAHARASHTRA,112374333,58243056,54131277,7035391,6291126,45257584,36296706,32616875,16811003
MANIPUR,2855794,1438586,1417208,194484,180873,1039858,868618,739408,565202
MEGHALAYA,2966889,1491832,1475057,288646,279890,913879,871126,703709,481910
MIZORAM,1097206,555339,541867,85561,82970,438529,409646,290740,195965
NAGALAND,1978502,1024649,953853,149785,141286,723957,618477,547357,426765
NCT OF DELHI,16787941,8987326,7800615,1075440,937014,7194856,5542911,4762026,825023
ODISHA,41974218,21212136,20762082,2716497,2556697,15089681,11652914,11902655,5638934
PUDUCHERRY,1247953,612511,635442,67527,65331,497378,459931,332931,112037
PUNJAB,27743338,14639465,13103873,1665994,1410225,10436056,8271081,8074157,1823205
RAJASTHAN,68548437,35550997,32997440,5639176,5010328,23688412,14586870,18297076,11589179
SIKKIM,610577,323070,287507,32761,31350,251269,193683,194358,113780
TAMIL NADU,72147030,36137975,36009055,3820276,3603556,28040491,23797016,21434978,11449703
TRIPURA,3673917,1874376,1799541,234008,224006,1501369,1303414,1045326,424195
UTTAR PRADESH,199812341,104480510,95331831,16185581,14605750,68234964,46162591,49846762,15967953
UTTARAKHAND,10086292,5137773,4948519,717199,638615,3863708,3017245,2551921,1320354
WEST BENGAL,91276115,46809027,44467088,5410396,5171070,33818810,27719471,26716047,8040308
